trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
2597,False,"{'a': 0.05254033817877971, 'e': 0.005520974271881074}",25,15,18.63554442161302,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2598,False,"{'a': 0.052487771544128786, 'e': 0.005509932323337311}",20,6,27.15704643790727,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2599,False,"{'a': 0.05243525750242215, 'e': 0.005498912458690637}",25,18,14.850121779726793,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2600,False,"{'a': 0.05238279600104053, 'e': 0.005487914633773255}",20,8,22.511242163333215,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2601,False,"{'a': 0.0523303869874173, 'e': 0.005476938804505708}",30,18,24.139621551933807,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2602,False,"{'a': 0.052278030409038445, 'e': 0.005465984926896697}",20,11,16.32220762198959,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2603,False,"{'a': 0.052225726213442465, 'e': 0.005455052957042903}",20,5,23.71340491935967,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2604,False,"{'a': 0.05217347434822037, 'e': 0.0054441428511288175}",20,15,6.614716175738791,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2605,False,"{'a': 0.052121274761015586, 'e': 0.00543325456542656}",20,12,12.532261740912725,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2606,False,"{'a': 0.05206912739952393, 'e': 0.005422388056295707}",25,15,22.79290957225084,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2607,False,"{'a': 0.05201703221149356, 'e': 0.005411543280183116}",35,16,34.136131337679515,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
2608,False,"{'a': 0.05196498914472488, 'e': 0.005400720193622749}",20,3,31.353214219905748,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2609,False,"{'a': 0.051912998147070566, 'e': 0.005389918753235504}",20,12,14.091020389656794,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
2610,False,"{'a': 0.05186105916643543, 'e': 0.005379138915729033}",20,10,19.58237801098177,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2611,False,"{'a': 0.05180917215077643, 'e': 0.005368380637897575}",20,10,-22.179172446140903,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
2612,False,"{'a': 0.051757337048102564, 'e': 0.00535764387662178}",30,21,19.92532103459459,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2613,False,"{'a': 0.051705553806474874, 'e': 0.005346928588868536}",25,8,31.01947476955387,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2614,False,"{'a': 0.051653822374006356, 'e': 0.0053362347316907996}",20,5,19.150144186842134,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
2615,False,"{'a': 0.05160214269886192, 'e': 0.0053255622622274176}",30,17,24.821003741487203,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2616,False,"{'a': 0.05155051472925835, 'e': 0.005314911137702963}",30,16,24.317321005269985,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2617,False,"{'a': 0.0514989384134642, 'e': 0.0053042813154275574}",25,16,20.722019664452,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
2618,False,"{'a': 0.051447413699799834, 'e': 0.005293672752796703}",25,13,19.826653889559932,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2619,False,"{'a': 0.05139594053663728, 'e': 0.0052830854072911096}",20,10,17.841707090730136,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2620,False,"{'a': 0.051344518872400234, 'e': 0.005272519236476527}",30,8,38.79525579084583,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
2621,False,"{'a': 0.051293148655564, 'e': 0.0052619741980035745}",20,13,15.650647976711834,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2622,False,"{'a': 0.05124182983465544, 'e': 0.005251450249607568}",25,14,20.24308724679235,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2623,False,"{'a': 0.051190562358252874, 'e': 0.005240947349108353}",25,13,24.081031071775705,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2624,False,"{'a': 0.051139346174986125, 'e': 0.0052304654544101355}",25,11,24.266064527392263,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2625,False,"{'a': 0.05108818123353637, 'e': 0.0052200045235013155}",20,8,19.698401234934398,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2626,False,"{'a': 0.05103706748263615, 'e': 0.005209564514454313}",30,19,20.225950942319074,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
2627,False,"{'a': 0.0509860048710693, 'e': 0.005199145385425405}",25,13,21.473927679876358,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
2628,False,"{'a': 0.05093499334767088, 'e': 0.005188747094654554}",25,10,27.791194515026255,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
2629,False,"{'a': 0.05088403286132716, 'e': 0.005178369600465245}",20,10,16.279314559538566,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2630,False,"{'a': 0.050833123360975535, 'e': 0.005168012861264314}",30,20,22.344754122518662,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
2631,False,"{'a': 0.050782264795604506, 'e': 0.005157676835541785}",20,15,8.71979510373012,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
